company,country,launch_site,launch_date,launch_year,launch_month,rocket_status,rocket_cost,mission_status,success_flag,mission_detail
VKS RF,Russia,Site 90/20,2006-06-25 04:00:00+00:00,2006.0,6.0,Retired,62.0,Success,1,Tsyklon-2 | Cosmos 2421
Boeing,USA,SLC-17A,2006-06-21 22:15:00+00:00,2006.0,6.0,Retired,62.0,Success,1,Delta II 7925 | MiTEx
Sea Launch,Russia,LP Odyssey,2006-06-18 07:49:00+00:00,2006.0,6.0,Active,62.0,Success,1,Zenit-3 SL | Galaxy 16
Arianespace,France,ELA-3,2006-05-27 21:09:00+00:00,2006.0,5.0,Active,200.0,Success,1,Ariane 5 ECA | Satmex-6 & Thaicom-5
SRC,Russia,K-84 Submarine,2006-05-26 18:50:00+00:00,2006.0,5.0,Retired,62.0,Success,1,Shtil' | Kompass-2
Boeing,USA,SLC-37B,2006-05-24 22:11:00+00:00,2006.0,5.0,Retired,164.0,Success,1,"Delta IV Medium+ (4,2) | GOES-N (GOES-13)"
Boeing,USA,SLC-2W,2006-04-28 10:02:00+00:00,2006.0,4.0,Retired,62.0,Success,1,"Delta II 7420-10C | CloudSat, CALIPSO"
CASC,China,LC-7,2006-04-26 22:48:00+00:00,2006.0,4.0,Active,64.68,Success,1,Long March 4C | Yaogan 1
MITT,Russia,Svobodny Cosmodrome,2006-04-25 16:47:00+00:00,2006.0,4.0,Active,62.0,Success,1,Start-1 | EROS B
ILS,USA,SLC-41,2006-04-20 20:27:00+00:00,2006.0,4.0,Active,115.0,Success,1,Atlas V 411 | Astra 1KR
Northrop,USA,SLC-8,2006-04-15 01:40:00+00:00,2006.0,4.0,Active,40.0,Success,1,Minotaur I | COSMIC (FORMOSAT-3)
Sea Launch,Russia,LP Odyssey,2006-04-12 23:29:00+00:00,2006.0,4.0,Active,62.0,Success,1,Zenit-3 SL | JCSat-9
Northrop,USA,Stargazer,2006-03-28 20:10:00+00:00,2006.0,3.0,Active,40.0,Success,1,Pegasus XL | ST-5
SpaceX,USA,Omelek Island,2006-03-24 21:30:00+00:00,2006.0,3.0,Retired,7.0,Failure,0,Falcon 1 | FalconSat-2
Arianespace,France,ELA-3,2006-03-11 22:33:00+00:00,2006.0,3.0,Active,200.0,Success,1,Ariane 5 ECA | Spainsat & Hot Bird 7A
ISAS,Japan,Mu Pad,2006-02-21 21:28:00+00:00,2006.0,2.0,Retired,62.0,Success,1,"Mu-V / M-25 | SSSat 1, CUTE 1.7 & Akari"
MHI,Japan,LA-Y1,2006-02-18 06:27:00+00:00,2006.0,2.0,Retired,62.0,Success,1,H-IIA 2024 | Himawari 7
Sea Launch,Russia,LP Odyssey,2006-02-15 22:34:00+00:00,2006.0,2.0,Active,62.0,Success,1,Zenit-3 SL | EchoStar-X
MHI,Japan,LA-Y1,2006-01-24 01:33:00+00:00,2006.0,1.0,Retired,62.0,Success,1,H-IIA 2022 | Daichi
ILS,USA,SLC-41,2006-01-19 19:00:00+00:00,2006.0,1.0,Active,153.0,Success,1,Atlas V 551 | New Horizons
Arianespace,France,ELA-3,2005-12-21 23:33:00+00:00,2005.0,12.0,Retired,62.0,Success,1,Ariane 5 GS | INSAT-4A & MSG-2
VKS RF,Russia,Site 132/1,2005-12-21 19:34:00+00:00,2005.0,12.0,Retired,62.0,Success,1,Cosmos-3M (11K65M) | Cosmos 2416
Arianespace,France,ELA-3,2005-11-16 23:46:00+00:00,2005.0,11.0,Active,200.0,Success,1,Ariane 5 ECA | Spaceway-2 & Telkom-2
Sea Launch,Russia,LP Odyssey,2005-11-08 14:06:00+00:00,2005.0,11.0,Active,62.0,Success,1,Zenit-3 SL | Inmarsat 4F-2
VKS RF,Russia,Site 132/1,2005-10-27 06:52:00+00:00,2005.0,10.0,Retired,62.0,Success,1,Cosmos-3M (11K65M) | TopSat 1 & Others
Lockheed,USA,SLC-4E,2005-10-19 18:05:00+00:00,2005.0,10.0,Retired,62.0,Success,1,Titan IV(404)B | NROL-20 (KH-11 Kennen)
CASC,China,Site 901 (SLS-1),2005-10-16 20:32:00+00:00,2005.0,10.0,Active,62.0,Success,1,Long March 2F | Shenzhou 6
Arianespace,France,ELA-3,2005-10-13 22:32:00+00:00,2005.0,10.0,Retired,62.0,Success,1,Ariane 5 GS | Syracuse 3A & Galaxy 15
Eurockot,Russia,Site 133/3,2005-10-08 15:02:00+00:00,2005.0,10.0,Retired,41.8,Failure,0,Rokot/Briz KM | CryoSat-1
Boeing,USA,SLC-17A,2005-09-26 03:37:00+00:00,2005.0,9.0,Retired,62.0,Success,1,Delta II 7925 | GPS IIRM-1
Northrop,USA,SLC-8,2005-09-22 19:24:00+00:00,2005.0,9.0,Active,40.0,Success,1,Minotaur I | Streak (STP-R1)
CASC,China,Site 9401 (SLS-2),2005-08-29 08:45:00+00:00,2005.0,8.0,Active,29.75,Success,1,Long March 2D | FSW-3 No. 3
VKS RF,Russia,Site 133/3,2005-08-26 18:34:00+00:00,2005.0,8.0,Retired,41.8,Success,1,Rokot/Briz KM | Monitor-E
Kosmotras,Russia,Site 109/95,2005-08-23 21:09:00+00:00,2005.0,8.0,Retired,29.0,Success,1,Dnepr | Kirari and Reimei
ILS,USA,SLC-41,2005-08-12 11:43:00+00:00,2005.0,8.0,Active,109.0,Success,1,Atlas V 401 | Mars Reconnaissance Orbiter
Arianespace,France,ELA-3,2005-08-11 08:20:00+00:00,2005.0,8.0,Retired,62.0,Success,1,Ariane 5 GS | iPStar-1
CASC,China,Site 9401 (SLS-2),2005-08-02 07:30:00+00:00,2005.0,8.0,Active,30.8,Success,1,Long March 2C | FSW-4 No. 2
NASA,USA,LC-39B,2005-07-26 14:39:00+00:00,2005.0,7.0,Retired,450.0,Success,1,Space Shuttle Discovery | STS-114
ISAS,Japan,Mu Pad,2005-07-10 03:30:00+00:00,2005.0,7.0,Retired,62.0,Success,1,Mu-V / M-25 | Suzaku
CASC,China,Site 9401 (SLS-2),2005-07-05 22:40:00+00:00,2005.0,7.0,Active,29.75,Success,1,Long March 2D | Shijian-7
Sea Launch,Russia,LP Odyssey,2005-06-23 14:02:00+00:00,2005.0,6.0,Active,62.0,Success,1,Zenit-3 SL | Intelsat-Americas 8
SRC,Russia,K-496 Submarine,2005-06-21 19:46:00+00:00,2005.0,6.0,Retired,62.0,Failure,0,Volna | Cosmos 1
VKS RF,Russia,Site 16/2,2005-06-21 00:48:00+00:00,2005.0,6.0,Retired,62.0,Failure,0,Molniya-M /Block ML | Molniya-3K n†­175
Boeing,USA,SLC-2W,2005-05-20 10:22:00+00:00,2005.0,5.0,Retired,62.0,Success,1,Delta II 7320-10C | NOAA-N
ISRO,India,Second Launch Pad,2005-05-05 04:45:00+00:00,2005.0,5.0,Retired,25.0,Success,1,PSLV-G | Cartosat-1 & HAMSAT
Lockheed,USA,SLC-40,2005-04-30 00:50:00+00:00,2005.0,4.0,Retired,62.0,Success,1,Titan IV(405)B | NROL-16 (Onyx)
Sea Launch,Russia,LP Odyssey,2005-04-26 07:31:00+00:00,2005.0,4.0,Active,62.0,Success,1,Zenit-3 SL | Spaceway-1
Northrop,USA,Stargazer,2005-04-15 17:27:00+00:00,2005.0,4.0,Active,40.0,Success,1,Pegasus XL | DART
CASC,China,LC-2,2005-04-12 12:00:00+00:00,2005.0,4.0,Active,62.0,Success,1,Long March 3B | Apstar 6
Northrop,USA,SLC-8,2005-04-11 13:35:00+00:00,2005.0,4.0,Active,40.0,Success,1,Minotaur I | XSS-11
ILS,USA,SLC-41,2005-03-11 21:42:00+00:00,2005.0,3.0,Active,130.0,Success,1,Atlas V 431 | Inmarsat-4 F1
Sea Launch,Russia,LP Odyssey,2005-03-01 03:50:00+00:00,2005.0,3.0,Active,62.0,Success,1,Zenit-3 SL | XM-3
MHI,Japan,LA-Y1,2005-02-26 09:25:00+00:00,2005.0,2.0,Retired,62.0,Success,1,H-IIA 2022 | Himawari 6
Arianespace,France,ELA-3,2005-02-12 21:03:00+00:00,2005.0,2.0,Active,200.0,Success,1,"Ariane 5 ECA | XTAR-EUR, Maqsat-B2, Sloshsat-FLEVO"
Lockheed,USA,SLC-36B,2005-02-03 07:41:00+00:00,2005.0,2.0,Retired,62.0,Success,1,Atlas IIIB | NROL-23 (Intruder 7A & 7B)
VKS RF,Russia,Site 132/1,2005-01-20 03:00:00+00:00,2005.0,1.0,Retired,62.0,Success,1,Cosmos-3M (11K65M) | Cosmos 2414 & Universitietski
Boeing,USA,SLC-17B,2005-01-12 18:47:00+00:00,2005.0,1.0,Retired,62.0,Success,1,Delta II 7925 | Deep Impact
VKS RF,Russia,Site 32/2,2004-12-24 12:00:00+00:00,2004.0,12.0,Retired,62.0,Partial Failure,0,Tsyklon-3 | Sich 1M & Micron 1
Boeing,USA,SLC-37B,2004-12-21 21:50:00+00:00,2004.0,12.0,Active,350.0,Partial Failure,0,Delta IV Heavy | DemoSat and 3CS-1 & 2
Arianespace,France,ELA-3,2004-12-18 16:26:00+00:00,2004.0,12.0,Retired,190.0,Success,1,"Ariane 5 G+ | Helios 2A, Essaim-1,2,3,4, PARASOL, Nanosat 01"
ILS,USA,SLC-41,2004-12-17 12:07:00+00:00,2004.0,12.0,Active,135.0,Success,1,Atlas V 521 | AMC-16
Boeing,USA,SLC-17A,2004-11-20 17:16:00+00:00,2004.0,11.0,Retired,62.0,Success,1,Delta II 7320-10C | Swift
CASC,China,LC-3,2004-11-18 10:45:00+00:00,2004.0,11.0,Active,30.8,Success,1,Long March 2C | Shiyan-2
VKS RF,Russia,Site 43/4,2004-11-08 18:29:00+00:00,2004.0,11.0,Active,48.5,Success,1,Soyuz 2.1a | Demo Flight
Boeing,USA,SLC-17B,2004-11-06 05:39:00+00:00,2004.0,11.0,Retired,62.0,Success,1,Delta II 7925 | GPS IIR-13
CASC,China,LC-7,2004-11-06 03:10:00+00:00,2004.0,11.0,Active,64.68,Success,1,Long March 4B | Ziyuan ll-03
CASC,China,LC-2,2004-10-19 01:20:00+00:00,2004.0,10.0,Active,69.7,Success,1,Long March 3A | Fengyun-2C
CASC,China,Site 9401 (SLS-2),2004-09-27 08:00:00+00:00,2004.0,9.0,Active,29.75,Success,1,Long March 2D | FSW-3 No.2
VKS RF,Russia,Site 132/1,2004-09-23 15:07:00+00:00,2004.0,9.0,Retired,62.0,Success,1,Cosmos-3M (11K65M) | Cosmos 2408 and 2409
ISRO,India,First Launch Pad,2004-09-20 10:31:00+00:00,2004.0,9.0,Retired,47.0,Success,1,GSLV Mk I | GSAT-3
CASC,China,LC-7,2004-09-08 23:14:00+00:00,2004.0,9.0,Active,64.68,Success,1,Long March 4B | Shijian-6A & 6B
Lockheed,USA,SLC-36A,2004-08-31 23:17:00+00:00,2004.0,8.0,Retired,62.0,Success,1,Atlas IIAS | NROL-1
CASC,China,Site 9401 (SLS-2),2004-08-29 07:50:00+00:00,2004.0,8.0,Active,30.8,Success,1,Long March 2C | FSW-4 No.1
Boeing,USA,SLC-17B,2004-08-03 06:15:00+00:00,2004.0,8.0,Retired,62.0,Success,1,Delta II 7925H | MESSENGER
CASC,China,LC-7,2004-07-25 07:05:00+00:00,2004.0,7.0,Active,30.8,Success,1,Long March 2C | Double Star 2
VKS RF,Russia,Site 132/1,2004-07-22 17:46:00+00:00,2004.0,7.0,Retired,62.0,Success,1,Cosmos-3M (11K65M) | Cosmos 2407
Arianespace,France,ELA-3,2004-07-18 00:44:00+00:00,2004.0,7.0,Retired,190.0,Success,1,Ariane 5 G+ | Anik F2
Boeing,USA,SLC-2W,2004-07-15 10:02:00+00:00,2004.0,7.0,Retired,62.0,Success,1,Delta II 7920-10L | Aura
Kosmotras,Russia,Site 109/95,2004-06-29 06:30:00+00:00,2004.0,6.0,Retired,29.0,Success,1,Dnepr | DEMETER & Others
Sea Launch,Russia,LP Odyssey,2004-06-29 03:58:00+00:00,2004.0,6.0,Active,62.0,Success,1,Zenit-3 SL | Telstar 18
Boeing,USA,SLC-17B,2004-06-23 22:54:00+00:00,2004.0,6.0,Retired,62.0,Success,1,Delta II 7925 | GPS IIR-12
VKS RF,Russia,Site 45/1,2004-06-10 01:28:00+00:00,2004.0,6.0,Retired,62.0,Success,1,Zenit-2 | Cosmos 2406
VKS RF,Russia,Site 90/20,2004-05-28 06:00:00+00:00,2004.0,5.0,Retired,62.0,Success,1,Tsyklon-2 | Cosmos 2405
Northrop,USA,SLC-576E,2004-05-20 17:47:00+00:00,2004.0,5.0,Active,45.0,Success,1,Minotaur C (Taurus) | ROCSAT-2
Sea Launch,Russia,LP Odyssey,2004-05-04 12:41:00+00:00,2004.0,5.0,Active,62.0,Success,1,Zenit-3 SL | DirecTV-7S
Boeing,USA,SLC-2W,2004-04-20 16:57:00+00:00,2004.0,4.0,Retired,62.0,Success,1,Delta II 7920-10C | Gravity Probe B
ILS,USA,SLC-36B,2004-04-19 22:22:00+00:00,2004.0,4.0,Retired,62.0,Success,1,Atlas IIAS | AMC-11
CASC,China,LC-3,2004-04-18 15:59:00+00:00,2004.0,4.0,Active,30.8,Success,1,Long March 2C | Shiyan-1 & Nano Satellite 1
ILS,USA,SLC-36A,2004-04-16 00:45:00+00:00,2004.0,4.0,Retired,62.0,Success,1,Atlas IIAS | Superbird 6
Boeing,USA,SLC-17B,2004-03-20 17:53:00+00:00,2004.0,3.0,Retired,62.0,Success,1,Delta II 7925 | GPS IIR-11
ILS,USA,SLC-36B,2004-03-13 05:40:00+00:00,2004.0,3.0,Retired,62.0,Success,1,Atlas IIIA | MBSat
Arianespace,France,ELA-3,2004-03-02 07:17:00+00:00,2004.0,3.0,Retired,190.0,Success,1,Ariane 5 G+ | Rosetta & Philae
VKS RF,Russia,Site 16/2,2004-02-18 07:06:00+00:00,2004.0,2.0,Retired,62.0,Success,1,Molniya-M /Block ML | Cosmos 2405 (Molniya-1T n†­174)
Lockheed,USA,SLC-40,2004-02-14 18:50:00+00:00,2004.0,2.0,Retired,62.0,Success,1,Titan IV(402)B | DSP
ILS,USA,SLC-36A,2004-02-05 23:46:00+00:00,2004.0,2.0,Retired,62.0,Success,1,Atlas IIAS | AMC-10
Sea Launch,Russia,LP Odyssey,2004-01-11 04:12:00+00:00,2004.0,1.0,Active,62.0,Success,1,Zenit-3 SL | Telstar 14
CASC,China,LC-3,2003-12-29 19:06:00+00:00,2003.0,12.0,Active,30.8,Success,1,Long March 2C | Double Star 1
Boeing,USA,SLC-17A,2003-12-21 08:05:00+00:00,2003.0,12.0,Retired,62.0,Success,1,Delta II 7925 | GPS IIR-10
Lockheed,USA,SLC-36B,2003-12-10 02:30:00+00:00,2003.0,12.0,Retired,62.0,Success,1,Atlas IIIB | UHF F/O F11
VKS RF,Russia,Site 175/59,2003-12-05 06:00:00+00:00,2003.0,12.0,Retired,62.0,Success,1,Strela | Gruzomaket
